conceptUri,preferredLabel,altLabels,skillType,reuseLevel,description
http://data.europa.eu/esco/skill/aab001d9-6d45-4f06-9976-9c1e0c253e3f,"monitor programming","",skill/competence,transversal,"Monitor whether programming schedules are met and ensure that the quality of the programs is adequate."
http://data.europa.eu/esco/skill/10a62970-b01b-4a13-9fc4-883e9f6e32fa,"read broadcast programming","",skill/competence,transversal,"Read the programming schedule in order to know which programs need to be recorded and aired."
http://data.europa.eu/esco/skill/94579fbb-0485-48d4-b97e-ca85e15691d3,"develop programming schedule","",skill/competence,transversal,"Develop a schedule for the broadcast of television and radio programs. Decide how much airtime a program gets."
http://data.europa.eu/esco/skill/779f5db1-66db-4790-90db-818bcaddcc29,"monitor programming finances","",skill/competence,transversal,"Oversee the monitoring of the budgets for each production, and find as many funds and sponsors as necessary in order to contribute to the financial optimisation of the production."
http://data.europa.eu/esco/skill/b105ec9b-0857-41d6-8d07-a83e58b73d90,"ICT system programming","",skill/competence,transversal,"The methods and tools required to develop system software, specifications of system architectures and interfacing techniques between network and system modules and components."
http://data.europa.eu/esco/skill/fba47924-b6ff-4be1-b35d-a8142a86e3f2,"draw up artistic programming policy","",skill/competence,transversal,"Formulate ideas, possible plans and concepts concerning the artistic policy in the medium and short term. More specifically, focus on the season programming in order to contribute to the development o"
http://data.europa.eu/esco/skill/cf200547-25b5-47c8-9eda-bca4aedc13fb,"program firmware","",skill/competence,transversal,"Program permanent software with a read-only memory (ROM) on a hardware device, such as an integrated circuit."
http://data.europa.eu/esco/skill/69bbd53f-fbb0-4476-b4b2-ef7844464e28,"web programming","",skill/competence,transversal,"The programming paradigm that is based on combining markup (which adds context and structure to text) and other web programming code, such as AJAX, javascript and PHP, in order to carry out appropriat"
http://data.europa.eu/esco/skill/42ed3bfb-1a01-4c8b-9758-fc6438865734,"Smalltalk (computer programming)","",skill/competence,transversal,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Smalltalk."
http://data.europa.eu/esco/skill/be80acfc-b6f2-4411-9b8d-b19d9cd2556a,"Swift (computer programming)","",skill/competence,transversal,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Swift."
http://data.europa.eu/esco/skill/2bde42ae-e776-41c1-9ded-b07b30bfe985,"Prolog (computer programming)","",skill/competence,transversal,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Prolog."
http://data.europa.eu/esco/skill/e8b89eb6-51e8-4c3a-babb-88b2e110376b,"Pascal (computer programming)","",skill/competence,transversal,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Pascal."
http://data.europa.eu/esco/skill/d56fc2b5-4b0a-4e7e-9bde-a33736f6ff18,"Scratch (computer programming)","",skill/competence,transversal,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Scratch."
http://data.europa.eu/esco/skill/a4d336a6-9ffd-402a-91cc-f359716ba4e0,"ML (computer programming)","",skill/competence,transversal,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in ML."
http://data.europa.eu/esco/skill/47b9bbcf-356c-4782-83a4-7f5a1b2b51a3,"Assembly (computer programming)","",skill/competence,transversal,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Assembly."
http://data.europa.eu/esco/skill/7d10fcb2-b368-48ab-996b-7c9fafcf68ed,"use automatic programming","",skill/competence,transversal,"Utilise specialised software tools to generate computer code from specifications, such as diagrams, structured informations or other means of describing functionality."
http://data.europa.eu/esco/skill/5b4ea415-3a3a-4d90-91d2-2d18ad196f4b,"program sound cues","",skill/competence,transversal,"Program sound cues and rehearse sound states before or during rehearsals."
http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389,"Java (computer programming)","",skill/competence,transversal,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Java."
http://data.europa.eu/esco/skill/2c4e11ef-da18-4e19-816b-e6bc19e12424,"use logic programming","",skill/competence,transversal,"Utilise specialised ICT tools to create computer code composed of series of sentences in logical form, expressing rules and facts about some problem domain. Use programming languages which support thi"
